-12658,-118,27489
-12769,-93,27627
-25970,-348,53436
-25962,-331,53418
-25954,-314,53399
-25947,-297,53381
-25931,-263,53345
-25939,-280,53363
-25923,-246,53327
-25915,-229,53308
-25907,-212,53290
-25900,-195,53272
-25892,-178,53254
-25884,-161,53236
-25876,-144,53217
-25868,-127,53199
-25860,-110,53181
-25852,-93,53163
-25845,-76,53145
-25837,-59,53126
-25829,-42,53108
-25821,-25,53090
-25813,-8,53072
13835,103,-153674
-6723,-126,24932
-11138,-320,26865
13688,310,-153085
13730,300,-153235
13736,243,-153277
-12566,-484,27668
-12679,-453,27803
13641,533,-152952
13691,591,-153028
13726,601,-153102
-11036,-735,27062
-12472,-859,27850
-12587,-822,27982
13169,808,-152188
-6628,-516,25111
-12376,-1245,28035
-12494,-1200,28163
13208,1178,-152153
-10934,-1154,27259
-6534,-900,25287
-12279,-1641,28222
-12399,-1588,28346
-10833,-1566,27451
-12181,-2047,28412
-12303,-1986,28532
12751,2048,-151282
-10735,-1972,27639
12228,2287,-150503
-6444,-1275,25458
-12082,-2458,28603
-12205,-2392,28721
11178,2359,-148997
-10639,-2370,27824
10706,2443,-148286
-11985,-2862,28789
-12109,-2796,28907
11104,2611,-148816
-6356,-1638,25622
-10544,-2763,28004
-12014,-3194,29089
-11890,-3260,28972
-10451,-3149,28181
-11921,-3584,29266
9502,2792,-146356
10583,3205,-147881
-6271,-1990,25781
-11797,-3650,29150
-10360,-3531,28354
-11831,-3967,29440
10803,3714,-148032
-11705,-4034,29325
11003,3975,-148226
-6190,-2327,25932
-10270,-3908,28525
-11616,-4413,29496
-11742,-4344,29610
-10182,-4281,28693
-11528,-4786,29664
-11654,-4716,29777
-6113,-2651,26077
-11568,-5084,29941
9677,4153,-146236
-10095,-4650,28858
-11441,-5155,29829
-11356,-5520,29992
-11484,-5447,30103
-6039,-2959,26214
-10010,-5014,29020
-11400,-5806,30262
-11272,-5880,30152
-5969,-3252,26344
-9926,-5371,29179
-11319,-6159,30418
-11190,-6235,30308
-5903,-3530,26467
-9845,-5719,29333
-11109,-6584,30462
-11239,-6507,30571
-9768,-6054,29480
-11161,-6848,30720
9102,5593,-144879
-5841,-3792,26582
-11031,-6924,30611
-11086,-7178,30864
-9693,-6374,29621
-10956,-7251,30754
7211,4809,-142178
8422,5473,-143868
-5783,-4039,26690
-9623,-6679,29754
-10885,-7563,30890
-11014,-7494,31001
-10817,-7859,31018
-10946,-7793,31131
6693,4717,-141381
