-25969,-6,53398
-25960,-20,53378
-25952,-35,53358
-25944,-53,53337
-25963,-11,53376
-25958,-38,53352
-25939,-80,53311
-25936,-116,53282
-25957,-74,53323
-25979,-29,53366
-25936,-157,53249
-25957,-116,53289
-25980,-72,53333
-26006,-24,53380
-25938,-205,53212
-25960,-163,53252
-25985,-120,53296
-26012,-73,53341
-26043,-24,53389
-25943,-263,53168
-25966,-221,53209
-25993,-177,53252
-26022,-131,53296
-26055,-81,53342
-25951,-329,53119
-25976,-288,53159
-26095,-29,53388
-26004,-245,53200
-26036,-199,53243
-26073,-149,53286
-25962,-403,53064
-25989,-363,53102
-26020,-320,53142
-26117,-94,53327
-26054,-274,53182
-26095,-224,53221
-26005,-443,53040
-26173,-26,53358
-26038,-400,53077
-26144,-166,53255
-26076,-355,53114
-26121,-303,53148
-26209,-86,53274
-26102,-438,53039
-26177,-240,53173
-26151,-384,53067
-26251,-141,53177
-26214,-313,53082
-26299,-190,53070
-26256,-380,52982
-26302,-442,52874
-26350,-239,52956
-26406,-25,53034
-26404,-286,52837
-26464,-66,52908
-26460,-330,52713
-26526,-97,52775
-26517,-369,52584
-26591,-116,52635
-26577,-402,52451
-26657,-128,52492
-26639,-427,52313
-26723,-140,52348
-26702,-447,52172
-26789,-152,52204
-26856,-164,52061
-26932,-224,51897
-27024,-364,51700
-27289,-137,51389
-27388,-288,51182
-27489,-449,50971
-11551,-28,-109132
-7021,-68,-117994
-25976,-483,53003
-25993,-567,52937
-26024,-527,52972
-26060,-485,53006
-26012,-654,52867
-26046,-615,52899
-26085,-571,52930
-26033,-744,52792
-26130,-523,52958
-26070,-703,52821
-26112,-659,52848
-26185,-464,52978
-26057,-834,52712
-26162,-608,52871
-26097,-793,52739
-26142,-747,52761
-26223,-542,52883
-26125,-883,52652
-26197,-691,52778
-26175,-833,52670
-26264,-616,52781
-26234,-771,52680
-26352,-495,52759
-26308,-684,52673
-26274,-848,52577
-26355,-746,52560
-26404,-545,52640
-26405,-801,52441
-26457,-592,52516
-26462,-880,52307
-26512,-636,52390
-26570,-686,52256
-26650,-832,52078
-26783,-549,51995
-26873,-698,51798
-26966,-860,51596
-27119,-516,51498
-27216,-679,51292
-27315,-851,51081
-27601,-573,50737
-27729,-631,50470
-27862,-695,50193
-28018,-813,49879
-26083,-925,52629
-26110,-1017,52542
-26156,-972,52561
-26209,-918,52574
-26143,-1123,52446
-26190,-1066,52464
-26247,-1001,52474
-26196,-1320,52307
-26316,-921,52469
-26244,-1246,52327
-26301,-1157,52338
-26371,-1042,52335
-26369,-1366,52175
-26445,-1234,52165
-26540,-1052,52131
-26622,-1237,51945
-26737,-999,51885
-26828,-1173,51685
-26921,-1357,51477
-27061,-1033,51390
-27158,-1217,51178
-27256,-1407,50964
-27415,-1033,50865
-27516,-1217,50649
-27619,-1409,50430
-28215,-1005,49499
-28465,-1253,49032
-2633,-110,-126231
-26258,-1569,52143
-26308,-1467,52168
-26325,-1835,51967
-26378,-1723,51989
-26442,-1588,52001
-26523,-1436,51985
-26520,-1841,51808
-26605,-1645,51795
-26708,-1433,51751
-26797,-1638,51549
-26889,-1864,51335
-27016,-1551,51266
-27112,-1754,51049
-27354,-1598,50749
-27454,-1809,50526
-27733,-1642,50192
-27873,-1944,49906
-28779,-1528,48454
-29157,-1799,47765
-29590,-2057,46979
-45455,-3160,-11195
-45364,-3123,-13558
-26396,-2115,51781
-26452,-1992,51801
-26529,-2266,51606
-26602,-2102,51607
-26692,-1887,51587
-26780,-2132,51376
-26982,-2092,51116
-27076,-2317,50895
-27209,-1971,50827
-27306,-2193,50602
-27564,-2057,50285
-27689,-2357,50020
-28058,-2242,49539
-30071,-2303,46105
-30593,-2536,45155
-45546,-3902,4046
-45655,-3772,2563
-45760,-3645,1049
-45846,-3576,-539
-45804,-3547,-2483
-45717,-3427,-4578
-45630,-3319,-6722
-45543,-3228,-8924
-45213,-3272,-16178
-44665,-3532,-19797
-43928,-3621,-24092
-43033,-3666,-28987
-41916,-3657,-34564
-26469,-2398,51591
-26544,-2679,51398
-26608,-2538,51407
-26686,-2360,51402
-26771,-2613,51194
-26869,-2374,51163
-26959,-2614,50949
-27171,-2544,50672
-27273,-2795,50439
-27411,-2442,50366
-27529,-2735,50110
-27835,-2722,49720
-28282,-2593,49106
-31150,-2758,44134
-31743,-2991,43038
-32371,-3242,41862
-44630,-4574,11406
-44794,-4472,10293
-44960,-4358,9158
-45124,-4215,7990
-45289,-4078,6797
-45430,-4006,5483
-40488,-3601,-40922
-38623,-3481,-48165
-35358,-3452,-57161
-30758,-3164,-67749
-26620,-2957,51203
-26688,-2806,51207
-26697,-3233,51005
-26769,-3070,51004
-26857,-2862,50984
-26945,-3114,50771
-27050,-2855,50731
-27148,-3115,50503
-27386,-3086,50188
-27665,-3086,49824
-28007,-3156,49378
-28545,-3002,48604
-28852,-3456,48028
-33034,-3504,40604
-33732,-3750,39258
-34460,-3977,37832
-35213,-4185,36335
-35984,-4376,34779
-42841,-5226,19673
-43516,-5159,18033
-43713,-5134,17548
-43713,-5134,17548
-43853,-5089,16599
-43999,-5017,15617
-44151,-4915,14601
-44307,-4799,13564
-44468,-4675,12503
-25750,-2774,-78969
-20781,-2339,-89780
-15956,-1947,-99955
-26776,-3509,50804
-26853,-3335,50797
-26942,-3615,50580
-27039,-3384,50549
-27142,-3687,50309
-27256,-3410,50257
-27379,-3751,49987
-27515,-3429,49911
-27661,-3832,49604
-27821,-3500,49504
-28207,-3660,48987
-29204,-3936,47373
-36767,-4551,33175
-37555,-4710,31533
-38346,-4851,29859
-39132,-4987,28158
-39910,-5106,26443
-40678,-5211,24722
-41429,-5291,23006
-42146,-5275,21330
-26862,-3806,50590
-26956,-4145,50354
-27042,-3924,50346
-27155,-4294,50081
-27260,-4034,50048
-27519,-4146,49689
-27828,-4297,49262
-28001,-3981,49144
