-25961,-3,53410
-25988,-5,53465
-25974,-5,53436
-25958,-6,53403
-25965,0,53417
-25955,-9,53396
-25977,-16,53441
-25979,-1,53445
-25952,-12,53389
-25970,-9,53426
-25972,-20,53430
-25962,-17,53409
-25946,-31,53376
-25946,-18,53376
-25983,-11,53452
-25966,-13,53417
-25949,-15,53382
-25967,-25,53419
-25950,-27,53384
-25954,-24,53392
-25973,-33,53431
-25939,-37,53361
-25957,-34,53398
-25958,-20,53400
-25962,-30,53408
-25929,-46,53340
-25948,-42,53379
-25967,-38,53418
-25936,-40,53354
-25943,-34,53368
-25926,-49,53333
-25944,-46,53370
-25933,-43,53347
-25953,-38,53388
-25956,-49,53394
-25940,-50,53361
-25962,-44,53406
-25932,-58,53344
-25951,-54,53383
-25936,-54,53352
-25958,-61,53397
-25924,-65,53327
-25928,-61,53335
-25946,-59,53372
-25931,-72,53341
-25952,-66,53384
-25917,-71,53312
-25936,-68,53351
-25940,-77,53359
-25941,-63,53361
-25910,-78,53297
-25946,-72,53371
-25921,-68,53319
-25922,-80,53321
-25943,-88,53364
-25927,-76,53331
-25929,-87,53335
-25914,-75,53304
-25935,-82,53347
-25918,-84,53312
-25924,-92,53324
-25907,-81,53289
-25910,-92,53295
-25894,-106,53262
-25930,-100,53336
-25914,-88,53303
-25898,-103,53270
-25918,-111,53311
-25919,-97,53313
-25937,-94,53350
-25902,-99,53278
-25906,-96,53286
-25924,-106,53323
-25909,-106,53292
-25914,-102,53302
-25921,-122,53316
-25887,-113,53246
-25907,-121,53287
-25891,-109,53254
-25891,-123,53254
-25928,-116,53330
-25900,-115,53272
-25887,-126,53245
-25905,-110,53282
-25908,-134,53288
-25913,-116,53298
-25896,-119,53263
-25879,-134,53228
-25883,-130,53236
-25902,-126,53275
-25902,-140,53275
-25871,-141,53211
-25875,-138,53219
-25913,-143,53297
-25896,-145,53262
-25897,-131,53264
-25915,-128,53301
-25882,-145,53233
-25887,-140,53243
-25890,-151,53249
-25892,-136,53253
-25899,-156,53267
-25868,-145,53203
-25906,-150,53281
-25873,-153,53213
-25878,-149,53223
-25885,-156,53237
-25869,-157,53204
-25864,-161,53195
-25874,-166,53215
-25892,-162,53252
-25860,-165,53186
-25869,-170,53204
-25856,-169,53177
-25859,-180,53183
-25880,-161,53226
-25898,-171,53263
-25864,-175,53193
-25883,-184,53232
-25848,-176,53160
-25886,-168,53238
-25852,-173,53168
-25876,-191,53217
-25862,-190,53188
-25880,-174,53225
-25850,-188,53163
-25868,-185,53200
-25891,-178,53247
-25874,-180,53212
-25883,-198,53230
-25851,-200,53164
-25855,-184,53172
-25857,-196,53176
-25875,-206,53213
-25841,-196,53143
-25863,-203,53188
-25846,-205,53153
-25846,-192,53153
-25870,-197,53202
-25836,-215,53132
-25837,-200,53134
-25857,-209,53175
-25841,-210,53142
-25868,-213,53197
-25833,-204,53125
-25851,-215,53162
-25839,-225,53137
-25845,-220,53149
-25829,-208,53116
-25868,-226,53196
-25822,-228,53101
-25840,-238,53138
-25860,-233,53179
-25861,-219,53181
-25827,-223,53111
-25828,-236,53113
-25847,-232,53152
-25813,-236,53082
-25832,-219,53121
-25834,-231,53125
-25852,-241,53162
-25818,-232,53092
-25854,-226,53166
-25823,-240,53102
-25809,-240,53073
-25834,-244,53124
-25853,-253,53163
-25818,-245,53091
-25837,-254,53130
-25808,-254,53070
-25845,-248,53146
-25810,-266,53074
-25828,-250,53111
-25830,-261,53115
-25813,-250,53080
-25816,-261,53086
-25803,-259,53059
-25822,-255,53098
-25845,-261,53145
-25805,-271,53062
-25824,-267,53101
-25794,-267,53039
-25799,-263,53049
-25817,-273,53086
-25837,-269,53127
-25790,-272,53030
-25829,-276,53110
-25800,-276,53050
-25794,-281,53039
-25838,-281,53129
-25821,-283,53094
-25804,-285,53059
-25789,-285,53028
-25811,-279,53073
-25829,-289,53110
-25798,-291,53046
-25784,-290,53017
-25814,-290,53078
-25781,-307,53010
-25800,-303,53049
-25821,-297,53092
-25823,-309,53096
-25770,-303,52987
-25807,-296,53063
-25775,-299,52997
-25793,-296,53034
-25793,-309,53034
-25813,-304,53075
-25797,-319,53042
-25780,-295,53007
-25787,-315,53021
-25787,-301,53021
-25805,-312,53058
-25776,-312,52998
-25814,-317,53076
-25765,-321,52975
-25805,-325,53057
-25790,-326,53026
-25755,-331,52954
-25760,-326,52964
-25781,-321,53007
-25783,-332,53011
-25771,-316,52986
-25808,-336,53062
-25757,-342,52957
-25775,-326,52994
-25776,-339,52996
-25797,-333,53039
-25763,-337,52969
-25769,-332,52981
-25789,-340,53022
-25773,-355,52989
-25763,-351,52968
-25781,-348,53005
