8472,123,16881
6548,47,19713
4366,36,22627
-21108,-361,44614
-21749,-313,45200
-21796,-118,45245
-21807,-309,45253
-21874,-236,45315
-21877,-226,45318
-21911,-195,45349
-21914,-190,45352
-22095,-4,45518
-25631,-4,52727
-25685,-8,52837
-25638,-25,52739
-25644,-44,52749
-25590,-37,52637
-25597,-60,52650
-25603,-80,52662
-25548,-70,52548
-25556,-94,52562
-25562,-115,52574
-25506,-103,52458
-25514,-129,52473
-25464,-136,52369
-25521,-151,52486
-25422,-169,52280
-25473,-163,52384
-25480,-186,52398
-25432,-197,52296
-25439,-222,52310
-25381,-202,52190
-25390,-232,52207
-25339,-235,52101
-25398,-258,52222
-25349,-266,52119
-25297,-268,52011
-25358,-293,52134
-25308,-301,52030
-25226,-410,51862
-25265,-336,51940
-25317,-329,52046
-25276,-365,51958
29114,11,-26468
28833,31,-25736
28550,50,-25004
28266,69,-24273
27993,89,-23589
27731,108,-22929
27468,128,-22252
27203,148,-21575
26937,168,-20900
26670,188,-20225
26400,208,-19551
26122,228,-18865
25842,248,-18181
25561,268,-17500
25295,288,-16849
24983,308,-16114
24625,326,-15291
24217,344,-14378
23762,361,-13377
23259,377,-12289
22740,393,-11177
17013,535,700
16548,543,1655
16078,550,2617
8253,214,17236
8043,278,17569
6310,120,20062
6068,193,20413
4091,101,22988
3820,101,23315
3545,100,23643
3266,99,23973
2982,97,24304
2693,94,24636
1757,41,25679
-17325,-551,41134
-18318,-523,42049
-19292,-496,42945
-20245,-467,43822
-21254,-649,44747
-21510,-622,44980
-21559,-554,45026
-21576,-550,45041
-21609,-511,45071
-21610,-512,45072
-24957,-693,51566
-25049,-562,51691
-25117,-452,51795
22216,408,-10080
21698,422,-8998
21188,436,-7935
20687,449,-6892
20195,462,-5872
19715,474,-4877
19247,486,-3908
18793,497,-2969
18354,507,-2062
17932,517,-1188
17475,527,-247
15604,556,3586
15126,562,4562
14643,567,5546
14205,572,6413
13813,576,7163
13416,580,7921
13014,582,8687
12606,585,9461
12193,586,10243
11775,586,11034
11351,586,11832
7831,342,17904
7620,373,18221
7410,375,18523
7197,377,18827
5829,224,20742
5589,226,21056
5346,228,21372
5099,229,21690
4848,230,22008
4593,231,22328
2399,92,24970
2098,86,25308
-13180,-660,37303
-14242,-633,38286
-15286,-606,39253
-16315,-578,40202
-20646,-991,44188
-21151,-892,44651
-21207,-942,44701
-21271,-872,44760
-21296,-840,44783
-21303,-837,44789
-24541,-1125,51132
-24627,-998,51253
-24688,-895,51350
10921,586,12640
10482,584,13462
10039,582,14290
9651,580,15000
9332,579,15550
9069,578,15988
8862,577,16314
8672,577,16608
8479,576,16903
8283,575,17199
6980,378,19132
6761,380,19438
6538,381,19745
6312,383,20054
6083,384,20363
5850,385,20675
5613,386,20987
4334,231,22650
4070,231,22973
3803,231,23297
3530,230,23623
-11012,-715,35289
-12104,-688,36304
-19960,-1285,43557
-20608,-1236,44152
-20898,-1270,44416
-20933,-1180,44450
-20960,-1202,44473
-20988,-1169,44500
-24100,-1586,50675
-24178,-1466,50787
-24227,-1373,50873
8084,575,17496
7883,574,17794
7679,573,18094
7472,572,18394
7261,572,18696
7048,571,18999
6832,570,19303
6612,570,19608
5373,386,21301
5129,387,21616
4881,387,21932
4628,387,22250
3253,229,23950
2972,228,24279
2685,226,24610
718,56,26757
-4449,-353,29437
-9905,-742,34258
-18199,-1524,41937
-19136,-1455,42799
-19991,-1585,43584
-20350,-1701,44010
-20450,-1527,44005
-20629,-1481,44218
-20640,-1511,44179
-20642,-1538,44180
-23714,-1880,50347
-23701,-1960,50294
6389,569,19915
6163,568,20223
5933,568,20532
5699,567,20843
5462,566,21155
4372,387,22570
4112,387,22891
3847,386,23213
2394,224,24942
-5768,-515,31770
-6654,-625,32336
-7650,-797,32152
-8785,-769,33212
-16250,-1634,40138
-17233,-1579,41046
-19357,-1939,43000
-19722,-2026,43610
-19863,-1879,43465
-20037,-1932,43770
-20195,-1862,43769
-20295,-1884,43859
-23637,-2071,50194
5221,565,21468
4976,565,21783
4728,564,22099
3578,386,23537
3304,385,23863
