8472,123,16881
6548,47,19713
4366,36,22627
-12657,-117,27489
-12768,-92,27627
-13349,-15,28657
-21107,-360,44614
-21748,-312,45200
-21795,-117,45245
-21806,-308,45253
-18369,-210,38056
-21873,-235,45315
-21876,-225,45318
-21910,-194,45349
-21913,-189,45352
-23500,-367,48536
-23502,-371,48540
-23499,-364,48532
-23498,-361,48528
-23495,-354,48520
-23497,-358,48524
-23494,-351,48516
-23490,-341,48504
-23491,-345,48508
-23493,-348,48512
-23487,-335,48496
-23489,-338,48500
-23486,-331,48492
-23483,-325,48484
-23485,-328,48488
-23482,-322,48480
-23479,-315,48472
-23481,-318,48476
-23478,-312,48468
-23477,-309,48464
-23474,-302,48456
-23476,-305,48460
-23473,-299,48452
-23470,-292,48444
-23472,-295,48448
-23469,-289,48440
-23466,-282,48432
-23468,-286,48436
-23465,-279,48428
-23462,-272,48420
-23464,-276,48424
-23458,-263,48408
-23461,-269,48416
-23457,-259,48404
-23460,-266,48412
-23456,-256,48400
-23455,-250,48395
-23461,-222,48379
-22094,-3,45518
-23475,-179,48350
-26006,-218,53525
-25999,-202,53507
-25991,-186,53490
-25976,-154,53455
-25984,-170,53472
-25969,-138,53438
-25961,-122,53420
-25954,-106,53403
-25946,-90,53385
-25969,-347,53436
-25961,-330,53418
-25939,-74,53368
-25960,-2,53410
-25931,-58,53350
-25987,-4,53465
-25919,0,53325
-25953,-313,53399
-25973,-4,53436
-25921,0,53329
-25957,-5,53403
-25993,0,53477
-25996,-7,53483
-25946,-2,53380
-25894,0,53273
-25964,0,53417
-25912,-5,53310
-26000,0,53491
-25931,-2,53349
-25914,-4,53314
-25897,0,53279
-25933,0,53353
-25935,0,53357
-25954,-8,53396
-25991,-14,53472
-25923,-10,53332
-25941,-6,53369
-25976,-15,53441
-25889,-2,53262
-25925,-8,53336
-25978,0,53445
-25891,-2,53266
-25944,-4,53375
-25927,-6,53340
-25929,-4,53344
-25878,-8,53239
-25896,0,53276
-25949,0,53385
-25880,-7,53243
-25915,-17,53315
-25916,-2,53317
-25951,-11,53389
-25899,-17,53282
-25899,0,53282
-25934,-13,53354
-25969,-8,53426
-25882,-6,53247
-25917,-15,53319
-25918,-1,53321
-25901,-15,53286
-25971,-19,53430
-25884,-5,53251
-25919,-13,53323
-25903,-13,53290
-25886,-4,53255
-25921,-11,53327
-25869,-12,53220
-25939,-8,53364
-25905,-12,53294
-25888,-3,53259
-25924,-42,53333
-25907,-10,53298
-25942,-19,53370
-25925,-21,53335
-25733,0,52940
-25995,-5,53479
-25978,-26,53444
-25961,-16,53409
-25839,0,53158
-25874,-10,53230
-25909,-22,53302
-25909,-8,53302
-25787,-2,53051
-25927,-19,53339
-25945,-17,53376
-25945,-30,53376
-25893,-22,53269
-25893,-1,53269
-25876,-9,53234
-25911,-21,53306
-25911,-7,53306
-25842,0,53164
-25982,-10,53452
-25895,-20,53273
-25965,-12,53417
-25913,-19,53310
-25948,-14,53382
-25966,-24,53419
-25949,-26,53384
-25897,-18,53277
-25932,-15,53349
-25985,-20,53458
-25933,-27,53351
-25916,-26,53316
-25916,-29,53316
-25864,-15,53209
-25882,-31,53246
-25918,-27,53320
-25953,-23,53392
-25936,-25,53357
-25867,-13,53215
-25937,-11,53359
-25972,-32,53431
-25903,-28,53289
-25938,-36,53361
-25956,-33,53398
-25991,-14,53470
-25939,-22,53363
-25957,-19,53400
-25905,-26,53293
-25923,-23,53330
-25889,-25,53260
-25872,-11,53225
-25907,-24,53297
-25977,-41,53441
-25925,-35,53334
-25856,-19,53192
-25891,-24,53264
-25891,-39,53264
-25961,-29,53408
-25630,-3,52727
-25893,-37,53268
-25928,-45,53340
-25928,-32,53340
-25789,-8,53054
-25859,-17,53198
-25737,-9,52947
-25947,-41,53379
-25895,-35,53272
-25930,-17,53344
-25946,-296,53381
-25983,-33,53453
-25791,-14,53058
-25931,-30,53346
-25966,-37,53418
-25914,-31,53311
-25862,-16,53204
-25897,-34,53276
-25880,-33,53241
-25846,-24,53171
-25794,-24,53064
-25899,-32,53280
-25987,-24,53461
-25830,-31,53138
